Years,Value
1936.666667,66.36
1936.75,53.49
1936.833333,39.81
1936.916667,34.47
1937,24.84
1937.083333,31.73
1937.166667,38.84
1937.25,50.11
1937.333333,61.93
1937.416667,68.79
1937.5,74.59
1937.583333,74.66
1937.666667,65.7
1937.75,53.89
1937.833333,40.82
1937.916667,32.7
1938,32.14
1938.083333,36
1938.166667,45.01
1938.25,51.73
1938.333333,59.85
1938.416667,68.77
1938.5,73.78
1938.583333,73.72
1938.666667,66.63
1938.75,56.41
1938.833333,39.94
1938.916667,34.21
1939,33.91
1939.083333,29.98
1939.166667,42.51
1939.25,51.53
1939.333333,62.71
1939.416667,68.86
1939.5,74.88
1939.583333,72.64
1939.666667,67.37
1939.75,54.72
1939.833333,42.3
1939.916667,37.72
1940,23.83
1940.083333,33.85
1940.166667,41.52
1940.25,50.23
1940.333333,60.85
1940.416667,69.6
1940.5,74.14
1940.583333,72.14
1940.666667,65.35
1940.75,56.08
1940.833333,39
1940.916667,36.05
1941,32.2
1941.083333,33.53
1941.166667,39.2
1941.25,52.02
1941.333333,62.33
1941.416667,67.8
1941.5,73.98
1941.583333,72.07
1941.666667,64.53
1941.75,55.2
1941.833333,42.91
1941.916667,36.12
1942,29.84
1942.083333,30.74
1942.166667,41.31
1942.25,53.06
1942.333333,59.09
1942.416667,67.91
1942.5,73.96
1942.583333,71.78
1942.666667,63.66
1942.75,54.57
1942.833333,43.16
1942.916667,32.97
1943,29.41
1943.083333,36.28
1943.166667,38.5
1943.25,52.88
1943.333333,59.72
1943.416667,68.77
1943.5,74.26
1943.583333,73.45
1943.666667,64.33
1943.75,53.69
1943.833333,40.91
1943.916667,32.59
1944,32.02
1944.083333,34.5
1944.166667,38.5
1944.25,48.97
1944.333333,62.02
1944.416667,68.36
1944.5,72.79
1944.583333,72.1
1944.666667,65.26
1944.75,55.27
1944.833333,41.5
1944.916667,30.67
1945,30.49
1945.083333,35.28
1945.166667,45.54
1945.25,50.22
1945.333333,58.28
1945.416667,65.88
1945.5,72.93
1945.583333,72.16
1945.666667,64.99
1945.75,54.14
1945.833333,42.01
1945.916667,29.08
1946,31.39
1946.083333,34.88
1946.166667,46.78
1946.25,54.61
1946.333333,58.75
1946.416667,68.32
1946.5,73.85
1946.583333,71.17
1946.666667,64.54
1946.75,53.15
1946.833333,41.74
1946.916667,36.18
1947,31.78
1947.083333,31.41
1947.166667,38.75
1947.25,50.95
1947.333333,60.13
1947.416667,66.72
1947.5,72.81
1947.583333,74.08
1947.666667,66.54
1947.75,58.8
1947.833333,38.1
1947.916667,32.92
1948,27.88
1948.083333,31.62
1948.166667,38.71
1948.25,53.35
1948.333333,60.24
1948.416667,68.76
1948.5,73.26
1948.583333,72.05
1948.666667,66.07
1948.75,53.19
1948.833333,41.59
1948.916667,32.58
1949,25.92
1949.083333,31.91
1949.166667,40.77
1949.25,52.07
1949.333333,61.72
1949.416667,69.24
1949.5,74.21
1949.583333,72.1
1949.666667,63.73
1949.75,54.05
1949.833333,45.27
1949.916667,33.26
1950,30.43
1950.083333,35.55
1950.166667,38.84
1950.25,48.65
1950.333333,59.45
1950.416667,67.93
1950.5,71.22
1950.583333,70.02
1950.666667,63.5
1950.75,57.47
1950.833333,40.64
1950.916667,33.01
1951,30.2
1951.083333,34.54
1951.166667,38.55
1951.25,49.73
1951.333333,60.76
1951.416667,66.65
1951.5,73.69
